skill_title,description,relevancy
Active Listening,Giving full attention to what other people are saying taking time to understand the points being made asking questions as appropriate and not interrupting at inappropriate times,,
Systems Analysis,Determining how a system should work and how changes in conditions operations and the environment will affect outcomes,,
Critical Thinking,Using logic and reasoning to identify the strengths and weaknesses of alternative solutions conclusions or approaches to problems,,
Complex Problem Solving,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions,, 
